,id,customer_id,month,name,age,ssn,occupation,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,target,credit_history_year,score_modelv6,gh
39441,0x20176,CUS_0x5d0b,May,,-1,541-85-9649,0.6132686084142395,57846.48,,8,7,2958,6,0.6577363389590464,57.0,-1,4.74,12.0,0.978531558608845,1881.05,34.68725129654834,0.9188770999115826,268.65748784082285,420.1016530560016,0.6,77.49485910317554,1,14,6.135746923177521,0
30961,0x19786,CUS_0x627b,May,,30,217-43-5920,0.63016157989228,77001.36,,7,117,34,-100,0.6577363389590464,9.0,18,21.8,11.0,0.6118143459915611,2456.49,38.2127096630988,0.9188770999115826,210.5768286144609,422.25810604934514,0.6277992277992278,303.34306533619383,1,19,1.463119262963346,0
45467,0x24dd0,CUS_0x386c,March,Helen Nyambura-Mwaurar,23,810-66-9223,0.5733558178752108,88827.66,7456.305,3,1,4,0,0.6577363389590464,2.0,9,11.16,0.0,0.24856961220597584,1061.08,32.531182690679344,0.26051560379918587,0.0,400.0120791998039,0.5903500473036897,605.6184208001962,0,15,999.1499365677897,8
18995,0x1019b,CUS_0x53bf,February,Kim Dixonb,30,855-87-2352,0.6013986013986014,19916.14,1840.678333333333,6,5,22,7,0.6577363389590464,37.0,20,0.9,7.0,0.6118143459915611,4358.08,27.327136820159545,0.6101987899740708,76.85648947688156,84.12789594884029,0.6277992277992278,303.0834479076114,1,13,24.095098977590965,1
35377,0x1cf1e,CUS_0x8a45,May,,28,296-65-4508,0.599644128113879,41467.22,3174.601666666667,6,10,18,9,0.6577363389590464,60.0,19,2.29,15.0,0.978531558608845,1441.4,37.85096155244239,0.9188770999115826,198.3720163350333,218.2114987825991,0.7443339960238569,190.8766515490344,1,-1,0.4356885160244701,0
39614,0x203d7,CUS_0x2516,February,Walterz,19,203-37-6938,0.6408345752608048,18811.58,,5,3,8,-100,0.6577363389590464,,5,9.79,0.0,0.6118143459915611,19.96,39.70432460856443,0.26051560379918587,50.856245043861286,107.02861814934226,0.6284953395472703,300.3783034734632,0,26,843.443777416744,7
29939,0x18a56,CUS_0x2659,January,YueYangz,18,511-59-6589,0.6013986013986014,62200.6,5104.383333333333,10,6,34,2,0.6577363389590464,52.0,21,2.54,7.0,0.978531558608845,1309.87,32.082782624414875,0.9188770999115826,52.61422135262107,44.525371907557954,0.4966996699669967,653.2987400731542,1,15,1.3166703714209689,0
26712,0x163a5,CUS_0x2bdc,August,Greg Roumeliotisp,29,454-30-4171,0.6914285714285714,119223.09,10046.2575,0,6,2,0,0.6577363389590464,25.0,4,4.53,4.0,0.6118143459915611,14.96,37.305406548467005,0.26051560379918587,0.0,201.1301814828621,0.4966996699669967,1043.495568517138,1,22,26.085288756551677,1
36698,0x1dfdc,CUS_0x2267,July,Rigbyv,43,322-94-2134,0.6914285714285714,17556.41,1192.0341666666666,8,10,34,4,0.6577363389590464,21.0,10,11.09,9.0,0.8030075187969925,2178.73,23.08350108156584,0.9188770999115826,42.1279038912681,28.08179795285752,0.6,318.99371482254105,1,15,0.5763251107258611,0
6427,0x654b,CUS_0xc649,June,Motsoenengh,49,001-06-5634,0.599644128113879,44066.78,,5,4,6,4,0.6577363389590464,8.0,7,6.29,2.0,0.24856961220597584,289.59,26.40035950148802,0.26051560379918587,80.9079238308648,105.29010904332604,0.5903500473036897,416.2251337924759,0,32,903.3924393381951,8
38589,0x1f69f,CUS_0x99d4,February,Kevine,37,617-22-3560,0.6333878887070377,20592.97,1843.0808333333327,6,4,12,7,0.6577363389590464,7.0,10,19.78,5.0,0.8030075187969925,1555.94,28.87782504732773,0.9188770999115826,85.28357880109834,158.94813712955047,0.6284953395472703,210.07636740268453,1,11,28.31329672874017,1
30905,0x196e8,CUS_0x14ff,March,Ishchenkox,38,027-71-3979,0.6914285714285714,14792.57,1181.7141666666666,10,7,20,8,0.6577363389590464,54.0,21,25.8,13.0,0.978531558608845,4955.69,24.38880033415548,0.9188770999115826,54.28779796583181,42.18473744827165,0.6277992277992278,301.69888125256324,1,9,32.02161486426337,1
46453,0x25adc,CUS_0xbb53,July,Mutikanix,31,671-00-6399,0.6132686084142395,77633.04,6635.419999999999,7,5,34,-100,0.6577363389590464,55.0,-1,13.48,8.0,0.6118143459915611,3392.65,29.38316065906058,0.6101987899740708,227.7770646663839,10000.0,0.7443339960238569,-1.0,1,0,17.363534304297218,0
